hall_1_L,hall_2_L,hall_3_L,flex_t_L,flex_i_L,flex_m_L,flex_r_L,flex_p_L,accel_x_L,accel_y_L,accel_z_L,gyro_x_L,gyro_y_L,gyro_z_L,hand,hall_1_R,hall_2_R,hall_3_R,flex_t_R,flex_i_R,flex_m_R,flex_r_R,flex_p_R,accel_x_R,accel_y_R,accel_z_R,gyro_x_R,gyro_y_R,gyro_z_R,hand,sign
3190.0,2655.0,3066.0,3337.0,3734.0,4078.0,4095.0,4095.0,5.33,7.27,8.67,0.02,-0.01,-0.16,0.0,4095.0,4095.0,979.0,3123.0,4095.0,4095.0,4095.0,4095.0,-7.12,3.92,5.45,-0.06,0.02,-0.02,1.0,person
3182.0,2656.0,3066.0,3335.0,3735.0,4083.0,4095.0,4095.0,5.48,7.25,8.66,0.02,-0.02,-0.16,0.0,4095.0,4095.0,991.0,3122.0,4095.0,4095.0,4095.0,4095.0,-7.18,3.84,5.35,-0.05,0.02,-0.02,1.0,person
3179.0,2647.0,3063.0,3333.0,3747.0,4076.0,4095.0,4095.0,5.37,7.24,8.75,0.0,-0.02,-0.16,0.0,4095.0,4095.0,991.0,3119.0,4095.0,4095.0,4095.0,4095.0,-7.16,3.91,5.35,-0.05,0.02,-0.05,1.0,person
3181.0,2670.0,3069.0,3336.0,3743.0,4074.0,4095.0,4095.0,5.54,7.2,8.68,0.03,0.0,-0.15,0.0,4095.0,4095.0,988.0,3120.0,4095.0,4095.0,4095.0,4095.0,-7.25,3.83,5.41,-0.06,-0.0,-0.03,1.0,person
3184.0,2659.0,3060.0,3335.0,3745.0,4074.0,4095.0,4095.0,5.57,7.41,8.66,0.03,-0.02,-0.16,0.0,4095.0,4095.0,995.0,3123.0,4095.0,4095.0,4095.0,4095.0,-7.52,3.83,5.44,-0.05,-0.01,-0.03,1.0,person
3182.0,2654.0,3068.0,3342.0,3740.0,4071.0,4095.0,4095.0,6.17,7.45,8.87,0.04,0.04,-0.45,0.0,4095.0,4095.0,978.0,3124.0,4095.0,4095.0,4095.0,4095.0,-7.62,3.93,5.41,-0.01,-0.1,0.17,1.0,person
3195.0,2642.0,3071.0,3317.0,3741.0,4075.0,4095.0,4095.0,-4.31,6.81,5.87,-0.07,-0.27,0.46,0.0,4095.0,4095.0,993.0,3123.0,4095.0,4095.0,4095.0,4095.0,-0.59,6.38,4.29,-0.08,0.23,-0.32,1.0,person
3183.0,2673.0,3046.0,3261.0,3763.0,4070.0,4095.0,4095.0,-6.59,-3.0,3.12,-1.37,-0.95,4.42,0.0,4095.0,4095.0,983.0,3091.0,4095.0,4095.0,4095.0,4095.0,7.47,1.73,0.21,-0.54,1.3,-3.92,1.0,person
3182.0,2926.0,3056.0,3308.0,3743.0,4035.0,4095.0,4095.0,24.94,-15.66,8.2,-1.43,-1.25,3.27,0.0,4095.0,4095.0,1059.0,3127.0,4095.0,4095.0,4095.0,4095.0,-14.74,-25.06,-3.85,0.15,-0.52,-5.17,1.0,person
3169.0,2898.0,3043.0,3311.0,3750.0,4048.0,4095.0,4095.0,13.38,-5.5,8.08,-0.15,-0.54,-0.14,0.0,4095.0,4095.0,1015.0,3141.0,4095.0,4095.0,4095.0,4095.0,-11.11,-13.55,0.76,-0.16,0.4,0.07,1.0,person
3175.0,2887.0,3042.0,3312.0,3782.0,4063.0,4095.0,4095.0,7.13,-4.8,5.33,0.09,0.01,-0.38,0.0,4095.0,4095.0,1023.0,3132.0,4095.0,4095.0,4095.0,4095.0,-4.05,-8.15,-1.28,0.01,-0.06,0.19,1.0,person
3185.0,2882.0,3042.0,3315.0,3760.0,4071.0,4095.0,4095.0,7.73,-6.03,4.51,0.13,0.01,-0.25,0.0,4095.0,4095.0,1021.0,3123.0,4095.0,4095.0,4095.0,4095.0,-3.68,-8.82,-1.67,0.02,0.0,0.19,1.0,person
3184.0,2879.0,3045.0,3319.0,3766.0,4061.0,4095.0,4095.0,7.66,-5.9,4.82,0.1,0.06,-0.27,0.0,4095.0,4095.0,1015.0,3115.0,4095.0,4095.0,4095.0,4095.0,-3.43,-8.45,-1.27,-0.05,-0.04,0.13,1.0,person
3182.0,2879.0,3056.0,3318.0,3765.0,4067.0,4095.0,4095.0,7.9,-5.61,4.92,0.02,-0.01,-0.21,0.0,4095.0,4095.0,1015.0,3124.0,4095.0,4095.0,4095.0,4095.0,-3.66,-8.43,-1.26,-0.08,-0.05,0.07,1.0,person
3175.0,2877.0,3055.0,3315.0,3766.0,4060.0,4095.0,4095.0,8.06,-6.08,4.88,0.03,0.02,-0.22,0.0,4095.0,4095.0,945.0,3132.0,4095.0,4095.0,4095.0,4095.0,-4.4,-8.77,-1.34,-0.05,0.08,-0.01,1.0,person
3190.0,2869.0,3047.0,3328.0,3767.0,4058.0,4095.0,4095.0,7.97,-5.75,4.87,-0.02,-0.04,-0.21,0.0,4095.0,4095.0,932.0,3141.0,4095.0,4095.0,4095.0,4095.0,-4.04,-8.51,-1.25,-0.06,0.01,0.0,1.0,person
3175.0,2871.0,3037.0,3314.0,3760.0,4077.0,4095.0,4095.0,8.02,-5.78,5.07,0.01,-0.06,-0.12,0.0,4095.0,4095.0,935.0,3132.0,4095.0,4095.0,4095.0,4095.0,-3.97,-8.34,-1.31,-0.02,0.03,-0.02,1.0,person
3194.0,2880.0,3053.0,3317.0,3769.0,4054.0,4095.0,4095.0,8.09,-5.83,4.98,0.01,-0.01,-0.17,0.0,4095.0,4095.0,941.0,3139.0,4095.0,4095.0,4095.0,4095.0,-4.11,-8.56,-1.37,-0.02,-0.02,-0.03,1.0,person
3178.0,2891.0,3043.0,3314.0,3773.0,4063.0,4095.0,4095.0,8.13,-5.72,4.84,0.01,-0.01,-0.17,0.0,4095.0,4095.0,944.0,3138.0,4095.0,4095.0,4095.0,4095.0,-4.14,-8.43,-1.24,-0.06,0.02,-0.04,1.0,person
3179.0,2875.0,3056.0,3318.0,3767.0,4064.0,4095.0,4095.0,8.12,-5.77,4.95,0.03,0.03,-0.14,0.0,4095.0,4095.0,941.0,3139.0,4095.0,4095.0,4095.0,4095.0,-4.28,-8.61,-1.26,-0.05,-0.01,-0.02,1.0,person
3191.0,3699.0,3051.0,3309.0,3700.0,4017.0,4095.0,4095.0,5.7,7.05,8.6,0.02,-0.03,-0.18,0.0,942.0,4095.0,971.0,3117.0,4095.0,4095.0,4095.0,4095.0,-6.98,4.08,5.21,-0.08,-0.01,-0.04,1.0,person
3203.0,3709.0,3066.0,3313.0,3697.0,4016.0,4095.0,4095.0,5.63,7.17,8.57,0.01,0.02,-0.24,0.0,934.0,4095.0,976.0,3120.0,4095.0,4095.0,4095.0,4095.0,-7.15,4.18,5.32,-0.06,-0.01,0.05,1.0,person
3206.0,3726.0,3069.0,3317.0,3697.0,4030.0,4095.0,4095.0,-0.46,6.11,7.09,-0.09,-0.31,0.21,0.0,934.0,4095.0,962.0,3122.0,4095.0,4095.0,4095.0,4095.0,-2.89,5.26,4.26,-0.15,0.24,-0.41,1.0,person
3201.0,3713.0,3045.0,3270.0,3729.0,4021.0,4095.0,4095.0,-6.15,-0.12,3.72,-0.74,-0.67,3.7,0.0,956.0,4095.0,982.0,3091.0,4095.0,4095.0,4095.0,4095.0,6.4,2.99,0.64,-0.98,1.23,-3.09,1.0,person
3226.0,3753.0,3046.0,3266.0,3751.0,3984.0,4095.0,4095.0,5.66,-13.59,0.37,-1.76,-3.73,5.73,0.0,961.0,4095.0,979.0,3021.0,4095.0,4095.0,4095.0,4095.0,4.04,-11.51,-5.92,-2.02,2.98,-6.09,1.0,person
3195.0,3723.0,3056.0,3298.0,3704.0,3978.0,4095.0,4095.0,31.02,-14.69,4.63,-1.03,-2.57,2.36,0.0,994.0,4095.0,1050.0,3109.0,4095.0,4095.0,4095.0,4095.0,-22.42,-25.75,-2.6,-0.44,-0.02,-3.8,1.0,person
