sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13
1488.0,4095.0,3065.0,1.94,1.62,8.88,0.03,-0.01,0.15,4095.0,4095.0,4095.0,4095.0,4095.0
1214.0,4095.0,3178.0,1.11,0.88,9.79,0.06,0.13,0.26,4095.0,4095.0,4095.0,4095.0,4095.0
1232.0,4095.0,3383.0,1.62,1.28,9.04,-0.08,-0.11,0.05,4095.0,4095.0,4095.0,4095.0,4095.0
2535.0,4095.0,3521.0,1.18,1.03,9.13,-0.04,0.18,-0.0,4095.0,4095.0,4095.0,4095.0,4095.0
1323.0,4095.0,3432.0,0.67,0.33,9.52,-0.31,0.55,-0.16,4095.0,4095.0,4095.0,4095.0,4095.0
1327.0,4095.0,3421.0,0.16,1.23,9.13,-0.17,-0.15,0.07,4095.0,4095.0,4095.0,4095.0,4095.0
1265.0,4095.0,3361.0,-0.19,0.91,9.29,-0.04,0.01,-0.07,4095.0,4095.0,4095.0,4095.0,4095.0
1265.0,4095.0,3346.0,0.09,0.49,9.47,0.53,-0.11,-0.02,4095.0,4095.0,4095.0,4095.0,4095.0
1116.0,4095.0,3157.0,1.02,1.9,9.14,-0.15,-0.16,-0.17,4095.0,4095.0,4095.0,4095.0,4095.0
1616.0,4095.0,3199.0,0.49,0.08,10.03,0.03,-0.3,0.06,4095.0,4095.0,4095.0,4095.0,4095.0
1614.0,4095.0,3159.0,0.87,1.87,8.92,0.13,0.08,-0.15,4095.0,4095.0,4095.0,4095.0,4095.0
2077.0,4095.0,3186.0,0.31,1.61,9.17,-0.35,0.04,0.06,4095.0,4095.0,4095.0,4095.0,4095.0
1346.0,4095.0,3157.0,0.96,1.45,9.44,0.23,-0.06,0.11,4095.0,4095.0,4095.0,4095.0,4095.0
1429.0,4095.0,3285.0,0.79,1.4,9.51,-0.14,-0.32,0.06,4095.0,4095.0,4095.0,4095.0,4095.0
1080.0,4095.0,3151.0,1.15,1.63,9.12,-0.17,-0.22,0.09,4095.0,4095.0,4095.0,4095.0,4095.0
1883.0,3027.0,3163.0,1.29,1.2,9.21,-0.19,-0.24,0.18,4095.0,4095.0,4095.0,4095.0,4095.0
2877.0,4095.0,3205.0,1.3,1.7,9.73,0.34,0.28,-0.69,4095.0,4095.0,4095.0,4095.0,4095.0
1490.0,2163.0,3162.0,-0.11,4.11,6.72,1.45,-0.22,-0.37,3927.0,4095.0,3955.0,3514.0,4095.0
905.0,1872.0,3141.0,0.34,4.25,8.74,-0.68,-0.08,0.01,3627.0,4095.0,4095.0,3609.0,4095.0
970.0,2708.0,3155.0,0.8,2.82,9.24,0.07,-0.1,0.09,3273.0,4095.0,4095.0,4013.0,4095.0
1021.0,3889.0,3152.0,0.35,3.37,8.42,-0.18,-0.26,-0.12,4095.0,4095.0,4095.0,4027.0,4095.0
3190.0,4095.0,3149.0,-0.32,3.11,8.67,-0.4,0.01,0.11,4095.0,3981.0,4095.0,4046.0,4095.0
3043.0,2665.0,3208.0,-0.1,2.39,8.61,0.05,0.5,0.03,4095.0,4095.0,4095.0,4095.0,4095.0
3059.0,4033.0,2937.0,0.26,2.82,8.76,-0.01,-0.26,0.25,4095.0,4095.0,4095.0,3255.0,4095.0
3131.0,4095.0,3227.0,0.28,2.7,8.65,-0.12,0.21,-0.12,4095.0,4095.0,4095.0,4010.0,4095.0
2355.0,3392.0,3168.0,1.02,3.19,9.2,0.04,-0.64,0.02,4095.0,4095.0,4095.0,4095.0,4095.0
3005.0,3716.0,3125.0,0.36,3.02,9.08,0.19,-0.26,-0.13,3728.0,4095.0,4095.0,4095.0,4095.0
2192.0,3499.0,3127.0,0.41,3.51,8.79,-0.15,0.07,0.19,4095.0,4095.0,4095.0,4095.0,4095.0
2807.0,3685.0,3142.0,2.25,1.9,9.55,0.07,-0.05,0.02,4095.0,4095.0,4095.0,4095.0,4095.0
2106.0,3524.0,3155.0,1.79,2.31,9.53,0.05,-0.02,-0.0,4095.0,4095.0,4095.0,4095.0,4095.0
2151.0,4095.0,3142.0,2.26,2.56,8.4,-0.63,0.13,0.05,4095.0,4095.0,4095.0,4095.0,4095.0
2002.0,4095.0,3135.0,2.2,1.76,7.64,-0.27,-0.06,-0.16,4095.0,4095.0,4095.0,4095.0,4095.0
2950.0,2061.0,3094.0,1.79,1.96,9.7,0.37,0.08,-0.18,3445.0,3373.0,3173.0,2539.0,4095.0
