hall_1_L,hall_2_L,hall_3_L,flex_t_L,flex_i_L,flex_m_L,flex_r_L,flex_p_L,accel_x_L,accel_y_L,accel_z_L,gyro_x_L,gyro_y_L,gyro_z_L,hand,hall_1_R,hall_2_R,hall_3_R,flex_t_R,flex_i_R,flex_m_R,flex_r_R,flex_p_R,accel_x_R,accel_y_R,accel_z_R,gyro_x_R,gyro_y_R,gyro_z_R,hand,sign
3839.0,3289.0,934.0,3857.0,2991.0,2832.0,3117.0,2621.0,-1.69,9.5,6.25,0.05,0.03,-0.23,0.0,3971.0,3994.0,3680.0,3462.0,4095.0,3696.0,4095.0,3846.0,0.12,9.75,2.85,-0.01,-0.22,-0.02,1.0,professor
3856.0,3387.0,941.0,3789.0,2975.0,2799.0,3103.0,2587.0,0.72,8.86,6.99,0.25,-0.49,-0.92,0.0,3965.0,3978.0,3671.0,3473.0,4095.0,3696.0,4095.0,3863.0,-0.36,9.65,2.95,-0.06,-0.08,0.04,1.0,professor
3952.0,3402.0,928.0,3766.0,2983.0,2768.0,3049.0,2559.0,-18.33,9.41,3.2,0.03,2.17,0.29,0.0,3968.0,3989.0,3675.0,3492.0,4095.0,3687.0,4083.0,3866.0,-2.1,8.37,4.3,0.26,-0.15,0.57,1.0,professor
3634.0,3411.0,949.0,3696.0,2928.0,2797.0,3088.0,2596.0,12.26,6.57,8.18,-0.27,-0.8,2.45,0.0,4070.0,3989.0,3671.0,3559.0,4095.0,3773.0,4095.0,3705.0,-13.21,2.01,8.72,-0.48,-0.72,-1.58,1.0,professor
3551.0,3489.0,983.0,3701.0,2945.0,2768.0,3083.0,2627.0,8.74,9.13,5.67,0.56,-1.23,-2.78,0.0,4017.0,4007.0,3679.0,3600.0,4095.0,3749.0,4054.0,3523.0,-5.48,7.3,4.35,0.8,0.71,2.42,1.0,professor
4063.0,3662.0,923.0,3787.0,3024.0,2755.0,3017.0,2668.0,-27.76,9.37,1.39,0.14,0.92,-0.28,0.0,3922.0,4014.0,3691.0,3335.0,4095.0,3583.0,3999.0,3823.0,22.29,15.52,-6.52,-0.37,0.08,-0.31,1.0,professor
3487.0,3680.0,991.0,3619.0,2863.0,2737.0,3039.0,2590.0,17.84,5.19,8.76,0.15,-0.62,1.38,0.0,4016.0,3971.0,3664.0,3649.0,4095.0,3760.0,3983.0,3738.0,-17.92,0.94,12.53,0.09,-0.18,-0.36,1.0,professor
3453.0,4095.0,925.0,3737.0,3005.0,2720.0,3084.0,2653.0,-3.75,6.29,3.73,0.12,-0.5,-1.97,0.0,4034.0,4095.0,1803.0,3017.0,4095.0,4095.0,4095.0,4095.0,14.3,4.95,-5.65,-2.7,-0.04,-5.14,1.0,professor
2799.0,2681.0,2678.0,3653.0,3579.0,3419.0,4095.0,3454.0,0.51,-8.49,2.14,-3.17,-2.43,6.75,0.0,2585.0,2847.0,2726.0,2602.0,4095.0,4095.0,4095.0,4095.0,5.43,-10.31,-3.63,-4.18,3.26,-8.09,1.0,professor
2962.0,2549.0,2730.0,3504.0,3707.0,3782.0,4027.0,3459.0,23.5,-9.05,8.32,-2.28,-1.39,6.17,0.0,2510.0,2855.0,2507.0,3136.0,4095.0,4095.0,4095.0,4095.0,-21.25,-25.36,-3.04,-1.76,2.18,-6.16,1.0,professor
2959.0,2606.0,2773.0,3656.0,3775.0,4014.0,4095.0,3522.0,23.4,-2.46,14.43,-1.01,0.46,1.6,0.0,2335.0,2807.0,2425.0,3280.0,4095.0,4095.0,4095.0,4095.0,-18.28,-12.65,5.63,-0.59,0.11,-1.23,1.0,professor
2935.0,2409.0,2787.0,3686.0,3568.0,3763.0,4095.0,3674.0,11.14,-0.39,9.15,0.12,0.07,-0.24,0.0,2133.0,2830.0,2489.0,3231.0,4095.0,4095.0,4095.0,4095.0,-7.69,-6.02,2.27,0.02,0.02,-0.16,1.0,professor
2944.0,2224.0,2778.0,3648.0,3583.0,3632.0,4095.0,3760.0,9.26,-2.02,8.27,0.07,-0.11,-0.06,0.0,2002.0,2781.0,2451.0,3237.0,4095.0,4095.0,4095.0,4095.0,-6.94,-6.97,0.94,-0.02,0.1,-0.04,1.0,professor
2949.0,2160.0,2769.0,3635.0,3543.0,3536.0,4095.0,3739.0,9.45,-1.86,8.16,0.04,-0.02,-0.2,0.0,1969.0,2782.0,2407.0,3150.0,4095.0,4095.0,4095.0,4095.0,-6.45,-6.96,1.41,-0.07,0.04,0.04,1.0,professor
2934.0,2124.0,2768.0,3639.0,3524.0,3531.0,4095.0,3745.0,8.76,-1.96,8.0,0.05,-0.08,-0.24,0.0,1936.0,2768.0,2382.0,3159.0,4095.0,4095.0,4095.0,4095.0,-6.18,-6.79,1.37,-0.05,0.06,0.0,1.0,professor
2930.0,2079.0,2768.0,3665.0,3517.0,3515.0,4095.0,3771.0,9.14,-2.09,7.8,-0.05,-0.01,-0.14,0.0,1939.0,2746.0,2342.0,3138.0,4095.0,4095.0,4095.0,4095.0,-6.3,-6.88,1.29,-0.02,-0.04,-0.08,1.0,professor
2945.0,2081.0,2766.0,3647.0,3527.0,3504.0,4095.0,3787.0,8.98,-2.03,8.18,-0.01,0.01,-0.14,0.0,1909.0,2761.0,2320.0,3188.0,4095.0,4095.0,4095.0,4095.0,-6.56,-6.96,1.18,-0.09,0.03,-0.06,1.0,professor
2941.0,2064.0,2764.0,3664.0,3526.0,3493.0,4095.0,3787.0,9.06,-1.91,8.04,-0.03,0.04,-0.13,0.0,1858.0,2752.0,2301.0,3164.0,4095.0,4095.0,4095.0,4095.0,-6.51,-6.89,1.23,-0.07,0.04,-0.02,1.0,professor
2950.0,2035.0,2765.0,3658.0,3535.0,3504.0,4095.0,3787.0,9.23,-1.91,8.08,0.02,-0.03,-0.12,0.0,1807.0,2737.0,2290.0,3152.0,4095.0,4095.0,4095.0,4095.0,-6.4,-6.91,1.19,-0.04,-0.03,-0.08,1.0,professor
2939.0,2011.0,2768.0,3648.0,3523.0,3489.0,4095.0,3792.0,9.08,-1.91,7.93,0.04,-0.02,-0.17,0.0,1755.0,2747.0,2255.0,3184.0,4095.0,4095.0,4095.0,4095.0,-6.37,-6.95,1.27,-0.09,-0.01,-0.04,1.0,professor
3321.0,2735.0,3316.0,4095.0,2951.0,3071.0,3411.0,2757.0,-1.6,9.61,6.11,-0.15,0.13,-0.19,0.0,902.0,926.0,4095.0,3541.0,4095.0,4095.0,4095.0,3507.0,-0.49,9.77,3.0,-0.16,0.25,0.03,1.0,professor
3473.0,2681.0,4095.0,4010.0,2981.0,2875.0,3245.0,2591.0,-2.15,9.23,6.74,-0.01,-0.03,-0.35,0.0,915.0,1411.0,2864.0,3473.0,4095.0,3885.0,4095.0,4083.0,-0.08,9.42,3.18,-0.15,-0.02,0.18,1.0,professor
3515.0,2705.0,4095.0,3966.0,2992.0,2802.0,3182.0,2579.0,-2.78,9.08,6.31,0.04,0.07,-0.14,0.0,1698.0,1697.0,2543.0,3482.0,4095.0,3749.0,4095.0,3996.0,0.99,9.68,2.85,0.01,-0.04,-0.01,1.0,professor
