hall_1_L,hall_2_L,hall_3_L,flex_t_L,flex_i_L,flex_m_L,flex_r_L,flex_p_L,accel_x_L,accel_y_L,accel_z_L,gyro_x_L,gyro_y_L,gyro_z_L,hand,hall_1_R,hall_2_R,hall_3_R,flex_t_R,flex_i_R,flex_m_R,flex_r_R,flex_p_R,accel_x_R,accel_y_R,accel_z_R,gyro_x_R,gyro_y_R,gyro_z_R,hand,sign
3071.0,2112.0,2810.0,3703.0,3381.0,3503.0,4095.0,3947.0,2.5,-6.38,11.51,0.02,-0.04,-0.17,0.0,3216.0,909.0,961.0,2879.0,4095.0,4095.0,4095.0,4095.0,-1.52,-6.1,7.81,-0.08,0.04,-0.01,1.0,what's-your-name
3063.0,2112.0,2806.0,3649.0,3345.0,3470.0,4095.0,3913.0,2.43,-6.38,11.49,0.02,-0.03,-0.17,0.0,3225.0,908.0,960.0,2870.0,4095.0,4095.0,4095.0,4095.0,-1.4,-5.98,8.13,-0.03,0.01,-0.05,1.0,what's-your-name
3071.0,2117.0,2815.0,3678.0,3343.0,3481.0,4095.0,3915.0,3.11,-6.63,11.46,-0.16,0.04,-0.14,0.0,3555.0,880.0,2333.0,2987.0,4095.0,4095.0,4095.0,4095.0,-3.84,-9.3,21.67,1.39,0.3,0.06,1.0,what's-your-name
3068.0,2066.0,2797.0,3755.0,3384.0,3502.0,4095.0,3957.0,2.23,-6.96,11.21,-0.2,0.46,-0.07,0.0,2592.0,1035.0,2288.0,3055.0,4095.0,4095.0,4095.0,4095.0,-4.6,-13.13,23.48,5.75,1.26,2.04,1.0,what's-your-name
3056.0,2141.0,2795.0,3760.0,3237.0,3507.0,4095.0,3919.0,1.47,-6.25,11.45,-0.09,0.25,-0.21,0.0,2135.0,1018.0,2064.0,2730.0,4095.0,4095.0,4095.0,3488.0,3.08,-3.28,-3.14,6.7,1.55,1.68,1.0,what's-your-name
3056.0,2142.0,2797.0,3763.0,3229.0,3519.0,4095.0,3949.0,2.5,-6.71,11.25,0.09,0.08,-0.23,0.0,2027.0,982.0,2217.0,2544.0,4095.0,4095.0,4095.0,4016.0,-1.08,6.65,-13.23,2.9,0.41,0.73,1.0,what's-your-name
3061.0,2173.0,2805.0,3791.0,3216.0,3517.0,4095.0,3941.0,1.89,-6.74,11.5,0.06,-0.03,-0.15,0.0,1035.0,1126.0,2477.0,2931.0,4095.0,4095.0,4095.0,4095.0,-4.12,0.33,17.05,-0.24,0.66,-0.05,1.0,what's-your-name
3091.0,3025.0,2545.0,3520.0,3126.0,3583.0,3374.0,2789.0,7.31,-8.91,22.21,3.55,-2.06,-1.38,0.0,1058.0,2608.0,2763.0,2703.0,4095.0,4095.0,4095.0,4032.0,-3.32,3.81,5.02,-1.17,2.55,0.92,1.0,what's-your-name
3253.0,2987.0,4095.0,2991.0,3389.0,3788.0,2337.0,2015.0,2.53,-1.38,4.77,1.31,0.16,-3.85,0.0,986.0,2956.0,3038.0,2435.0,4095.0,4095.0,2885.0,2829.0,1.33,12.57,1.54,-1.81,0.42,-0.05,1.0,what's-your-name
3265.0,3010.0,3247.0,3071.0,3274.0,4048.0,2284.0,2305.0,-6.28,0.49,5.73,-0.17,1.6,0.27,0.0,3583.0,2982.0,3059.0,2593.0,4095.0,4095.0,2817.0,2768.0,-8.71,3.77,4.22,1.52,0.14,0.8,1.0,what's-your-name
3307.0,3009.0,3165.0,3082.0,3428.0,4095.0,2361.0,2617.0,4.68,2.43,11.78,-0.47,-0.2,0.39,0.0,4095.0,3024.0,3103.0,2804.0,4095.0,4095.0,2889.0,2793.0,-2.92,3.0,12.56,1.16,1.34,-0.06,1.0,what's-your-name
