hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
3820.0,4095.0,3291.0,4095.0,3275.0,2651.0,3022.0,3149.0,-1.2,9.41,6.87,0.03,-0.01,-0.15,c
3819.0,4095.0,3280.0,4095.0,3285.0,2655.0,3027.0,3151.0,-1.2,9.41,6.94,0.04,0.05,-0.12,c
3787.0,4095.0,3280.0,4095.0,3283.0,2659.0,3023.0,3147.0,-1.19,9.39,6.85,0.02,-0.03,-0.17,c
3813.0,4095.0,3282.0,4095.0,3284.0,2662.0,3021.0,3155.0,-1.23,9.36,6.91,0.02,0.02,-0.16,c
3789.0,4095.0,3277.0,4095.0,3278.0,2665.0,3030.0,3154.0,-1.31,9.37,6.96,0.01,-0.01,-0.16,c
3799.0,4095.0,3285.0,4095.0,3289.0,2662.0,3027.0,3150.0,-1.23,9.39,7.0,0.02,0.0,-0.13,c
3824.0,4095.0,3290.0,4095.0,3283.0,2658.0,3022.0,3145.0,-1.21,9.41,7.06,0.01,0.0,-0.15,c
3804.0,4095.0,3274.0,4095.0,3283.0,2672.0,3029.0,3161.0,-1.14,9.39,6.98,0.05,-0.02,-0.15,c
3811.0,4095.0,3280.0,4095.0,3283.0,2656.0,3031.0,3155.0,-1.26,9.37,6.84,0.01,-0.01,-0.17,c
3818.0,4095.0,3283.0,4095.0,3302.0,2653.0,3021.0,3153.0,-1.34,9.31,6.87,-0.0,0.01,-0.15,c
3804.0,4095.0,3283.0,4095.0,3282.0,2662.0,3025.0,3155.0,-1.27,9.4,6.94,-0.01,-0.01,-0.15,c
3807.0,4095.0,3280.0,4095.0,3297.0,2666.0,3037.0,3150.0,-1.18,9.41,6.91,-0.01,-0.01,-0.16,c
3830.0,4095.0,3280.0,4095.0,3286.0,2662.0,3024.0,3164.0,-1.33,9.36,7.05,0.01,0.0,-0.16,c
3823.0,4095.0,3285.0,4095.0,3280.0,2666.0,3024.0,3166.0,-1.27,9.33,6.96,0.0,0.01,-0.14,c
3824.0,4095.0,3290.0,4095.0,3289.0,2671.0,3030.0,3154.0,-1.2,9.39,6.99,0.02,-0.02,-0.15,c
3830.0,4095.0,3280.0,4095.0,3290.0,2666.0,3024.0,3161.0,-1.16,9.39,6.96,0.0,0.01,-0.15,c
3831.0,4095.0,3297.0,4095.0,3291.0,2669.0,3023.0,3157.0,-1.26,9.36,6.96,-0.0,-0.01,-0.16,c
3824.0,4095.0,3287.0,4095.0,3287.0,2670.0,3036.0,3162.0,-1.26,9.38,6.94,0.02,-0.01,-0.15,c
3829.0,4095.0,3289.0,4095.0,3293.0,2669.0,3028.0,3151.0,-1.28,9.42,7.06,0.02,0.02,-0.14,c
3843.0,4095.0,3283.0,4095.0,3299.0,2671.0,3035.0,3163.0,-1.22,9.47,7.0,-0.01,0.0,-0.16,c
3581.0,3687.0,4095.0,3998.0,3307.0,2608.0,3036.0,3293.0,-1.38,9.4,6.74,-0.0,-0.02,-0.16,c
3567.0,3697.0,4095.0,4013.0,3302.0,2610.0,3027.0,3298.0,-1.5,9.32,7.09,0.01,0.01,-0.16,c
3570.0,3707.0,4095.0,3985.0,3314.0,2608.0,3031.0,3312.0,-1.41,9.37,7.0,-0.0,-0.01,-0.16,c
3568.0,3691.0,4095.0,3979.0,3316.0,2608.0,3046.0,3317.0,-1.46,9.35,7.0,0.03,0.04,-0.15,c
3581.0,3696.0,4095.0,3978.0,3302.0,2612.0,3024.0,3312.0,-1.39,9.36,6.91,0.02,-0.01,-0.14,c
3599.0,3689.0,4095.0,4014.0,3312.0,2617.0,3046.0,3312.0,-1.48,9.36,6.99,0.04,0.02,-0.14,c
